variant,receiver,num_users,ebno_db,block_errors,num_blocks,bler
errvar_eval_swap_d256_b4_r2,upair5g_lmmse,3,-4.0,587,3840,0.15286458333333333
local_only_no_axial_attn_d256_b4_r2,upair5g_lmmse,3,-4.0,735,3840,0.19140625
main_d256_b4_r2,upair5g_lmmse,2,-4.0,160,7680,0.020833333333333332
shallow_light_d256_b2_r2,upair5g_lmmse,3,-4.0,538,3840,0.14010416666666667
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,3,-4.0,1086,3840,0.2828125
main_d256_b4_r2,perfect_csi_lmmse,4,-4.0,673,5120,0.1314453125
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,2,-4.0,135,2560,0.052734375
main_d256_b4_r2,upair5g_lmmse,3,-4.0,472,3840,0.12291666666666666
main_d256_b4_r2,baseline_ls_lmmse,2,-4.0,1056,2560,0.4125
main_d256_b4_r2,baseline_ls_lmmse,4,-4.0,4987,5120,0.9740234375
width_light_d192_b4_r2,upair5g_lmmse,3,-4.0,530,3840,0.13802083333333334
freq_attn_only_d256_b4_r2,upair5g_lmmse,3,-4.0,512,3840,0.13333333333333333
main_d256_b4_r2,perfect_csi_lmmse,3,-4.0,198,7680,0.02578125
main_d256_b4_r2,baseline_ls_lmmse,3,-4.0,3128,3840,0.8145833333333333
main_d256_b4_r2,perfect_csi_lmmse,2,-4.0,103,35840,0.0028738839285714288
shallow_light_d256_b2_r2,upair5g_lmmse,3,-3.0,133,3840,0.03463541666666667
main_d256_b4_r2,perfect_csi_lmmse,3,-3.0,129,19200,0.00671875
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,3,-3.0,388,3840,0.10104166666666667
main_d256_b4_r2,upair5g_lmmse,2,-3.0,102,28160,0.003622159090909091
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,2,-3.0,101,7680,0.013151041666666667
local_only_no_axial_attn_d256_b4_r2,upair5g_lmmse,3,-3.0,208,3840,0.05416666666666667
errvar_eval_swap_d256_b4_r2,upair5g_lmmse,3,-3.0,176,3840,0.04583333333333333
main_d256_b4_r2,upair5g_lmmse,3,-3.0,117,3840,0.03046875
main_d256_b4_r2,perfect_csi_lmmse,2,-3.0,93,256000,0.00036328125
main_d256_b4_r2,baseline_ls_lmmse,3,-3.0,1582,3840,0.4119791666666667
main_d256_b4_r2,baseline_ls_lmmse,2,-3.0,290,2560,0.11328125
main_d256_b4_r2,perfect_csi_lmmse,4,-3.0,195,5120,0.0380859375
main_d256_b4_r2,baseline_ls_lmmse,4,-3.0,3979,5120,0.7771484375
freq_attn_only_d256_b4_r2,upair5g_lmmse,3,-3.0,120,3840,0.03125
width_light_d192_b4_r2,upair5g_lmmse,3,-3.0,147,3840,0.03828125
width_light_d192_b4_r2,upair5g_lmmse,3,-2.0,100,11520,0.008680555555555556
freq_attn_only_d256_b4_r2,upair5g_lmmse,3,-2.0,133,15360,0.008658854166666667
main_d256_b4_r2,baseline_ls_lmmse,3,-2.0,602,3840,0.15677083333333333
main_d256_b4_r2,perfect_csi_lmmse,4,-2.0,131,15360,0.008528645833333333
main_d256_b4_r2,perfect_csi_lmmse,3,-2.0,100,103680,0.0009645061728395061
main_d256_b4_r2,perfect_csi_lmmse,2,-2.0,11,256000,4.296875e-05
main_d256_b4_r2,baseline_ls_lmmse,4,-2.0,2281,5120,0.4455078125
main_d256_b4_r2,baseline_ls_lmmse,2,-2.0,153,5120,0.0298828125
main_d256_b4_r2,upair5g_lmmse,3,-2.0,134,15360,0.008723958333333334
errvar_eval_swap_d256_b4_r2,upair5g_lmmse,3,-2.0,110,11520,0.009548611111111112
local_only_no_axial_attn_d256_b4_r2,upair5g_lmmse,3,-2.0,116,7680,0.015104166666666667
shallow_light_d256_b2_r2,upair5g_lmmse,3,-2.0,105,11520,0.009114583333333334
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,3,-2.0,192,7680,0.025
main_d256_b4_r2,upair5g_lmmse,2,-2.0,101,168960,0.0005977746212121212
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,2,-2.0,100,43520,0.002297794117647059
main_d256_b4_r2,baseline_ls_lmmse,2,-1.0,113,23040,0.004904513888888889
main_d256_b4_r2,perfect_csi_lmmse,4,-1.0,108,71680,0.0015066964285714286
main_d256_b4_r2,baseline_ls_lmmse,4,-1.0,1059,5120,0.2068359375
main_d256_b4_r2,perfect_csi_lmmse,3,-1.0,50,384000,0.00013020833333333333
shallow_light_d256_b2_r2,upair5g_lmmse,3,-1.0,107,61440,0.0017415364583333334
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,2,-1.0,26,58880,0.00044157608695652174
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,3,-1.0,115,15360,0.007486979166666667
local_only_no_axial_attn_d256_b4_r2,upair5g_lmmse,3,-1.0,105,23040,0.004557291666666667
main_d256_b4_r2,upair5g_lmmse,3,-1.0,102,61440,0.00166015625
main_d256_b4_r2,upair5g_lmmse,2,-1.0,24,256000,9.375e-05
main_d256_b4_r2,baseline_ls_lmmse,3,-1.0,201,3840,0.05234375
errvar_eval_swap_d256_b4_r2,upair5g_lmmse,3,-1.0,100,53760,0.0018601190476190475
width_light_d192_b4_r2,upair5g_lmmse,3,-1.0,106,72960,0.0014528508771929824
